#,Name,Type 1,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Mood
503,Samurott,Water,528,95,100,85,108,70,70,0
504,Patrat,Normal,255,45,55,39,35,39,42,0
505,Watchog,Normal,420,60,85,69,60,69,77,0
506,Lillipup,Normal,275,45,60,45,25,45,55,0
507,Herdier,Normal,370,65,80,65,35,65,60,0
508,Stoutland,Normal,500,85,110,90,45,90,80,0
509,Purrloin,Dark,281,41,50,37,50,37,66,0
510,Liepard,Dark,446,64,88,50,88,50,106,0
511,Pansage,Grass,316,50,53,48,53,48,64,0
512,Simisage,Grass,498,75,98,63,98,63,101,0
513,Pansear,Fire,316,50,53,48,53,48,64,0
514,Simisear,Fire,498,75,98,63,98,63,101,0
515,Panpour,Water,316,50,53,48,53,48,64,0
516,Simipour,Water,498,75,98,63,98,63,101,0
517,Munna,Psychic,292,76,25,45,67,55,24,0
518,Musharna,Psychic,487,116,55,85,107,95,29,0
519,Pidove,Normal,264,50,55,50,36,30,43,0
520,Tranquill,Normal,358,62,77,62,50,42,65,0
521,Unfezant,Normal,488,80,115,80,65,55,93,0
522,Blitzle,Electric,295,45,60,32,50,32,76,0
523,Zebstrika,Electric,497,75,100,63,80,63,116,0
524,Roggenrola,Rock,280,55,75,85,25,25,15,0
525,Boldore,Rock,390,70,105,105,50,40,20,0
526,Gigalith,Rock,515,85,135,130,60,80,25,0
527,Woobat,Psychic,313,55,45,43,55,43,72,0
528,Swoobat,Psychic,425,67,57,55,77,55,114,0
529,Drilbur,Ground,328,60,85,40,30,45,68,0
530,Excadrill,Ground,508,110,135,60,50,65,88,0
531,Audino,Normal,445,103,60,86,60,86,50,0
532,Timburr,Fighting,305,75,80,55,25,35,35,0
533,Gurdurr,Fighting,405,85,105,85,40,50,40,0
534,Conkeldurr,Fighting,505,105,140,95,55,65,45,0
535,Tympole,Water,294,50,50,40,50,40,64,0
536,Palpitoad,Water,384,75,65,55,65,55,69,0
537,Seismitoad,Water,509,105,95,75,85,75,74,0
538,Throh,Fighting,465,120,100,85,30,85,45,0
539,Sawk,Fighting,465,75,125,75,30,75,85,0
540,Sewaddle,Bug,310,45,53,70,40,60,42,0
541,Swadloon,Bug,380,55,63,90,50,80,42,0
542,Leavanny,Bug,500,75,103,80,70,80,92,0
543,Venipede,Bug,260,30,45,59,30,39,57,0
544,Whirlipede,Bug,360,40,55,99,40,79,47,0
545,Scolipede,Bug,485,60,100,89,55,69,112,0
546,Cottonee,Grass,280,40,27,60,37,50,66,0
547,Whimsicott,Grass,480,60,67,85,77,75,116,0
548,Petilil,Grass,280,45,35,50,70,50,30,0
549,Lilligant,Grass,480,70,60,75,110,75,90,0
550,Basculin,Water,460,70,92,65,80,55,98,0
551,Sandile,Ground,292,50,72,35,35,35,65,0
552,Krokorok,Ground,351,60,82,45,45,45,74,0
553,Krookodile,Ground,519,95,117,80,65,70,92,0
554,Darumaka,Fire,315,70,90,45,15,45,50,0
555,DarmanitanStandard Mode,Fire,480,105,140,55,30,55,95,0
556,Maractus,Grass,461,75,86,67,106,67,60,0
557,Dwebble,Bug,325,50,65,85,35,35,55,0
558,Crustle,Bug,475,70,95,125,65,75,45,0
559,Scraggy,Dark,348,50,75,70,35,70,48,0
560,Scrafty,Dark,488,65,90,115,45,115,58,0
561,Sigilyph,Psychic,490,72,58,80,103,80,97,0
562,Yamask,Ghost,303,38,30,85,55,65,30,0
563,Cofagrigus,Ghost,483,58,50,145,95,105,30,0
564,Tirtouga,Water,355,54,78,103,53,45,22,0
565,Carracosta,Water,495,74,108,133,83,65,32,0
566,Archen,Rock,401,55,112,45,74,45,70,0
567,Archeops,Rock,567,75,140,65,112,65,110,0
568,Trubbish,Poison,329,50,50,62,40,62,65,0
569,Garbodor,Poison,474,80,95,82,60,82,75,0
570,Zorua,Dark,330,40,65,40,80,40,65,0
571,Zoroark,Dark,510,60,105,60,120,60,105,0
572,Minccino,Normal,300,55,50,40,40,40,75,0
573,Cinccino,Normal,470,75,95,60,65,60,115,0
574,Gothita,Psychic,290,45,30,50,55,65,45,0
575,Gothorita,Psychic,390,60,45,70,75,85,55,0
576,Gothitelle,Psychic,490,70,55,95,95,110,65,0
577,Solosis,Psychic,290,45,30,40,105,50,20,0
578,Duosion,Psychic,370,65,40,50,125,60,30,0
579,Reuniclus,Psychic,490,110,65,75,125,85,30,0
580,Ducklett,Water,305,62,44,50,44,50,55,0
581,Swanna,Water,473,75,87,63,87,63,98,0
582,Vanillite,Ice,305,36,50,50,65,60,44,0
583,Vanillish,Ice,395,51,65,65,80,75,59,0
584,Vanilluxe,Ice,535,71,95,85,110,95,79,0
585,Deerling,Normal,335,60,60,50,40,50,75,0
586,Sawsbuck,Normal,475,80,100,70,60,70,95,0
587,Emolga,Electric,428,55,75,60,75,60,103,0
588,Karrablast,Bug,315,50,75,45,40,45,60,0
589,Escavalier,Bug,495,70,135,105,60,105,20,0
590,Foongus,Grass,294,69,55,45,55,55,15,0
591,Amoonguss,Grass,464,114,85,70,85,80,30,0
592,Frillish,Water,335,55,40,50,65,85,40,0
593,Jellicent,Water,480,100,60,70,85,105,60,0
594,Alomomola,Water,470,165,75,80,40,45,65,0
595,Joltik,Bug,319,50,47,50,57,50,65,0
596,Galvantula,Bug,472,70,77,60,97,60,108,0
597,Ferroseed,Grass,305,44,50,91,24,86,10,0
598,Ferrothorn,Grass,489,74,94,131,54,116,20,0
599,Klink,Steel,300,40,55,70,45,60,30,0
600,Klang,Steel,440,60,80,95,70,85,50,0
601,Klinklang,Steel,520,60,100,115,70,85,90,0
602,Tynamo,Electric,275,35,55,40,45,40,60,0
603,Eelektrik,Electric,405,65,85,70,75,70,40,0
604,Eelektross,Electric,515,85,115,80,105,80,50,0
605,Elgyem,Psychic,335,55,55,55,85,55,30,0
606,Beheeyem,Psychic,485,75,75,75,125,95,40,0
607,Litwick,Ghost,275,50,30,55,65,55,20,0
608,Lampent,Ghost,370,60,40,60,95,60,55,0
609,Chandelure,Ghost,520,60,55,90,145,90,80,0
610,Axew,Dragon,320,46,87,60,30,40,57,0
611,Fraxure,Dragon,410,66,117,70,40,50,67,0
612,Haxorus,Dragon,540,76,147,90,60,70,97,0
613,Cubchoo,Ice,305,55,70,40,60,40,40,0
614,Beartic,Ice,485,95,110,80,70,80,50,0
615,Cryogonal,Ice,485,70,50,30,95,135,105,0
616,Shelmet,Bug,305,50,40,85,40,65,25,0
617,Accelgor,Bug,495,80,70,40,100,60,145,0
618,Stunfisk,Ground,471,109,66,84,81,99,32,0
619,Mienfoo,Fighting,350,45,85,50,55,50,65,0
620,Mienshao,Fighting,510,65,125,60,95,60,105,0
621,Druddigon,Dragon,485,77,120,90,60,90,48,0
622,Golett,Ground,303,59,74,50,35,50,35,0
623,Golurk,Ground,483,89,124,80,55,80,55,0
624,Pawniard,Dark,340,45,85,70,40,40,60,0
625,Bisharp,Dark,490,65,125,100,60,70,70,0
626,Bouffalant,Normal,490,95,110,95,40,95,55,0
627,Rufflet,Normal,350,70,83,50,37,50,60,0
628,Braviary,Normal,510,100,123,75,57,75,80,0
629,Vullaby,Dark,370,70,55,75,45,65,60,0
630,Mandibuzz,Dark,510,110,65,105,55,95,80,0
631,Heatmor,Fire,484,85,97,66,105,66,65,0
632,Durant,Bug,484,58,109,112,48,48,109,0
633,Deino,Dark,300,52,65,50,45,50,38,0
634,Zweilous,Dark,420,72,85,70,65,70,58,0
635,Hydreigon,Dark,600,92,105,90,125,90,98,0
636,Larvesta,Bug,360,55,85,55,50,55,60,0
637,Volcarona,Bug,550,85,60,65,135,105,100,0
638,Cobalion,Steel,580,91,90,129,90,72,108,0
639,Terrakion,Rock,580,91,129,90,72,90,108,0
640,Virizion,Grass,580,91,90,72,90,129,108,0
641,TornadusIncarnate Forme,Flying,580,79,115,70,125,80,111,0
642,ThundurusIncarnate Forme,Electric,580,79,115,70,125,80,111,0
643,Reshiram,Dragon,680,100,120,100,150,120,90,0
644,Zekrom,Dragon,680,100,150,120,120,100,90,0
645,LandorusIncarnate Forme,Ground,600,89,125,90,115,80,101,0
646,Kyurem,Dragon,660,125,130,90,130,90,95,0
647,KeldeoOrdinary Forme,Water,580,91,72,90,129,90,108,0
648,MeloettaAria Forme,Normal,600,100,77,77,128,128,90,0
649,Genesect,Bug,600,71,120,95,120,95,99,0
650,Chespin,Grass,313,56,61,65,48,45,38,0
651,Quilladin,Grass,405,61,78,95,56,58,57,0
652,Chesnaught,Grass,530,88,107,122,74,75,64,0
653,Fennekin,Fire,307,40,45,40,62,60,60,0
654,Braixen,Fire,409,59,59,58,90,70,73,0
655,Delphox,Fire,534,75,69,72,114,100,104,0
656,Froakie,Water,314,41,56,40,62,44,71,0
657,Frogadier,Water,405,54,63,52,83,56,97,0
658,Greninja,Water,530,72,95,67,103,71,122,0
659,Bunnelby,Normal,237,38,36,38,32,36,57,0
660,Diggersby,Normal,423,85,56,77,50,77,78,0
661,Fletchling,Normal,278,45,50,43,40,38,62,0
662,Fletchinder,Fire,382,62,73,55,56,52,84,0
663,Talonflame,Fire,499,78,81,71,74,69,126,0
664,Scatterbug,Bug,200,38,35,40,27,25,35,0
665,Spewpa,Bug,213,45,22,60,27,30,29,0
666,Vivillon,Bug,411,80,52,50,90,50,89,0
667,Litleo,Fire,369,62,50,58,73,54,72,0
668,Pyroar,Fire,507,86,68,72,109,66,106,0
669,Flabébé,Fairy,303,44,38,39,61,79,42,0
670,Floette,Fairy,371,54,45,47,75,98,52,0
671,Florges,Fairy,552,78,65,68,112,154,75,0
672,Skiddo,Grass,350,66,65,48,62,57,52,0
673,Gogoat,Grass,531,123,100,62,97,81,68,0
674,Pancham,Fighting,348,67,82,62,46,48,43,0
675,Pangoro,Fighting,495,95,124,78,69,71,58,0
676,Furfrou,Normal,472,75,80,60,65,90,102,0
677,Espurr,Psychic,355,62,48,54,63,60,68,0
678,MeowsticMale,Psychic,466,74,48,76,83,81,104,0
679,Honedge,Steel,325,45,80,100,35,37,28,0
680,Doublade,Steel,448,59,110,150,45,49,35,0
681,AegislashBlade Forme,Steel,520,60,150,50,150,50,60,0
682,Spritzee,Fairy,341,78,52,60,63,65,23,0
683,Aromatisse,Fairy,462,101,72,72,99,89,29,0
684,Swirlix,Fairy,341,62,48,66,59,57,49,0
685,Slurpuff,Fairy,480,82,80,86,85,75,72,0
686,Inkay,Dark,288,53,54,53,37,46,45,0
687,Malamar,Dark,482,86,92,88,68,75,73,0
688,Binacle,Rock,306,42,52,67,39,56,50,0
689,Barbaracle,Rock,500,72,105,115,54,86,68,0
690,Skrelp,Poison,320,50,60,60,60,60,30,0
691,Dragalge,Poison,494,65,75,90,97,123,44,0
692,Clauncher,Water,330,50,53,62,58,63,44,0
693,Clawitzer,Water,500,71,73,88,120,89,59,0
694,Helioptile,Electric,289,44,38,33,61,43,70,0
695,Heliolisk,Electric,481,62,55,52,109,94,109,0
696,Tyrunt,Rock,362,58,89,77,45,45,48,0
697,Tyrantrum,Rock,521,82,121,119,69,59,71,0
698,Amaura,Rock,362,77,59,50,67,63,46,0
699,Aurorus,Rock,521,123,77,72,99,92,58,0
700,Sylveon,Fairy,525,95,65,65,110,130,60,0
701,Hawlucha,Fighting,500,78,92,75,74,63,118,0
702,Dedenne,Electric,431,67,58,57,81,67,101,0
703,Carbink,Rock,500,50,50,150,50,150,50,0
704,Goomy,Dragon,300,45,50,35,55,75,40,0
705,Sliggoo,Dragon,452,68,75,53,83,113,60,0
706,Goodra,Dragon,600,90,100,70,110,150,80,0
707,Klefki,Steel,470,57,80,91,80,87,75,0
708,Phantump,Ghost,309,43,70,48,50,60,38,0
709,Trevenant,Ghost,474,85,110,76,65,82,56,0
710,PumpkabooAverage Size,Ghost,335,49,66,70,44,55,51,0
711,GourgeistAverage Size,Ghost,494,65,90,122,58,75,84,0
712,Bergmite,Ice,304,55,69,85,32,35,28,0
713,Avalugg,Ice,514,95,117,184,44,46,28,0
714,Noibat,Flying,245,40,30,35,45,40,55,0
715,Noivern,Flying,535,85,70,80,97,80,123,0
716,Xerneas,Fairy,680,126,131,95,131,98,99,0
717,Yveltal,Dark,680,126,131,95,131,98,99,0
718,Zygarde Forme,Dragon,600,108,100,121,81,95,95,0
719,Diancie,Rock,600,50,100,150,100,150,50,0
720,HoopaHoopa Confined,Psychic,600,80,110,60,150,130,70,0
721,Volcanion,Fire,600,80,110,120,130,90,70,0
